210	1.564525
211	1.562932
212	1.561365
213	1.559824
214	1.558309
215	1.556819
216	1.555353
217	1.553911
218	1.552493
219	1.551098
220	1.549726
221	1.548376
222	1.547048
223	1.545742
224	1.544457
225	1.543192
226	1.541948
227	1.540724
228	1.539519
229	1.538334
230	1.537168
231	1.53602
232	1.534891
233	1.533779
234	1.532685
235	1.531608
236	1.530548
237	1.529505
238	1.528478
239	1.527466
240	1.526471
241	1.525491
242	1.524526
243	1.523576
244	1.522641
245	1.52172
246	1.520813
247	1.51992
248	1.51904
249	1.518174
250	1.51732
251	1.51648
252	1.515652
253	1.514836
254	1.514033
255	1.513242
256	1.512462
257	1.511694
258	1.510937
259	1.510191
260	1.509456
261	1.508732
262	1.508018
263	1.507315
264	1.506621
265	1.505938
266	1.505265
267	1.504601
268	1.503947
269	1.503302
270	1.502666
271	1.502039
272	1.50142
273	1.500811
274	1.50021
275	1.499617
276	1.499033
277	1.498457
278	1.497888
279	1.497328
280	1.496775
281	1.496229
282	1.495691
283	1.495161
284	1.494637
285	1.494121
286	1.493611
287	1.493109
288	1.492613
289	1.492123
290	1.49164
291	1.491164
292	1.490694
293	1.49023
294	1.489772
295	1.48932
296	1.488873
297	1.488433
298	1.487998
299	1.487569
300	1.487145
301	1.486727
302	1.486314
303	1.485907
304	1.485504
305	1.485107
306	1.484714
307	1.484327
308	1.483944
309	1.483566
310	1.483193
311	1.482824
312	1.48246
313	1.4821
314	1.481745
315	1.481394
316	1.481047
317	1.480705
318	1.480366
319	1.480032
320	1.479702
321	1.479375
322	1.479053
323	1.478734
324	1.47842
325	1.478108
326	1.477801
327	1.477497
328	1.477197
329	1.4769
330	1.476606
331	1.476316
332	1.47603
333	1.475746
334	1.475466
335	1.475189
336	1.474915
337	1.474645
338	1.474377
339	1.474112
340	1.473851
341	1.473592
342	1.473336
343	1.473083
344	1.472833
345	1.472586
346	1.472341
347	1.472099
348	1.471859
349	1.471623
350	1.471388
351	1.471157
352	1.470928
353	1.470701
354	1.470477
355	1.470255
356	1.470035
357	1.469818
358	1.469603
359	1.469391
360	1.46918
361	1.468972
362	1.468766
363	1.468562
364	1.46836
365	1.468161
366	1.467963
367	1.467768
368	1.467574
369	1.467382
370	1.467193
371	1.467005
372	1.466819
373	1.466635
374	1.466453
375	1.466273
376	1.466095
377	1.465918
378	1.465743
379	1.46557
380	1.465398
381	1.465229
382	1.465061
383	1.464894
384	1.464729
385	1.464566
386	1.464404
387	1.464244
388	1.464086
389	1.463929
390	1.463773
391	1.463619
392	1.463466
393	1.463315
394	1.463166
395	1.463017
396	1.46287
397	1.462725
398	1.462581
399	1.462438
400	1.462296
401	1.462156
402	1.462017
403	1.461879
404	1.461743
405	1.461608
406	1.461474
407	1.461341
408	1.46121
409	1.461079
410	1.46095
411	1.460822
412	1.460696
413	1.46057
414	1.460445
415	1.460322
416	1.460199
417	1.460078
418	1.459958
419	1.459839
420	1.45972
421	1.459603
422	1.459487
423	1.459372
424	1.459258
425	1.459145
426	1.459033
427	1.458922
428	1.458811
429	1.458702
430	1.458593
431	1.458486
432	1.45838
433	1.458274
434	1.458169
435	1.458065
436	1.457962
437	1.45786
438	1.457758
439	1.457658
440	1.457558
441	1.457459
442	1.457361
443	1.457264
444	1.457167
445	1.457072
446	1.456977
447	1.456883
448	1.456789
449	1.456697
450	1.456605
451	1.456513
452	1.456423
453	1.456333
454	1.456244
455	1.456156
456	1.456068
457	1.455981
458	1.455895
459	1.455809
460	1.455724
461	1.45564
462	1.455556
463	1.455473
464	1.455391
465	1.455309
466	1.455228
467	1.455147
468	1.455067
469	1.454988
470	1.454909
471	1.454831
472	1.454754
473	1.454677
474	1.4546
475	1.454525
476	1.454449
477	1.454375
478	1.4543
479	1.454227
480	1.454154
481	1.454081
482	1.454009
483	1.453938
484	1.453867
485	1.453796
486	1.453726
487	1.453657
488	1.453588
489	1.453519
490	1.453451
491	1.453384
492	1.453317
493	1.45325
494	1.453184
495	1.453118
496	1.453053
497	1.452989
498	1.452924
499	1.45286
500	1.452797
501	1.452734
502	1.452672
503	1.452609
504	1.452548
505	1.452486
506	1.452426
507	1.452365
508	1.452305
509	1.452245
510	1.452186
511	1.452127
512	1.452069
513	1.452011
514	1.451953
515	1.451896
516	1.451839
517	1.451783
518	1.451726
519	1.451671
520	1.451615
521	1.45156
522	1.451505
523	1.451451
524	1.451397
525	1.451343
526	1.45129
527	1.451237
528	1.451184
529	1.451132
530	1.45108
531	1.451028
532	1.450977
533	1.450926
534	1.450875
535	1.450825
536	1.450775
537	1.450725
538	1.450675
539	1.450626
540	1.450577
541	1.450529
542	1.450481
543	1.450433
544	1.450385
545	1.450338
546	1.450291
547	1.450244
548	1.450197
549	1.450151
550	1.450105
551	1.450059
552	1.450014
553	1.449969
554	1.449924
555	1.449879
556	1.449835
557	1.449791
558	1.449747
559	1.449703
560	1.44966
561	1.449617
562	1.449574
563	1.449531
564	1.449489
565	1.449447
566	1.449405
567	1.449363
568	1.449322
569	1.449281
570	1.44924
571	1.449199
572	1.449159
573	1.449118
574	1.449078
575	1.449038
576	1.448999
577	1.448959
578	1.44892
579	1.448881
580	1.448843
581	1.448804
582	1.448766
583	1.448728
584	1.44869
585	1.448652
586	1.448614
587	1.448577
588	1.44854
589	1.448503
590	1.448467
591	1.44843
592	1.448394
593	1.448358
594	1.448322
595	1.448286
596	1.44825
597	1.448215
598	1.44818
599	1.448145
600	1.44811
601	1.448075
602	1.448041
603	1.448007
604	1.447972
605	1.447938
606	1.447905
607	1.447871
608	1.447838
609	1.447804
